,id,name,description,modified,available_comics,available_series,year,year_tags
154,1009486,Harry Osborn,,2012-02-02,98,23,2012-01-01,2010-2017
155,1011218,Harry Osborn (Ultimate),,1969-12-31,10,6,1969-01-01,1969
156,1010816,Hate-Monger (Adolf Hitler),,1969-12-31,3,3,1969-01-01,1969
157,1009337,Havok,,2013-10-23,347,96,2013-01-01,2010-2017
158,1009338,Hawkeye,,2016-06-22,637,206,2016-01-01,2010-2017
159,1010808,Hawkeye (Kate Bishop),,2014-12-09,82,31,2014-01-01,2010-2017
160,1009362,Iceman,,2016-02-03,579,166,2016-01-01,2010-2017
161,1010933,Iceman (Ultimate),,2014-03-05,68,20,2014-01-01,2010-2017
163,1011077,Ikaris,,1969-12-31,4,3,1969-01-01,1969
164,1010758,Illuminati,,2013-10-17,16,8,2013-01-01,2010-2017
165,1009529,Ilyana Rasputin,,1969-12-31,1,1,1969-01-01,1969
166,1012923,Immortus,,2021-08-13,21,6,2021-01-01,2020-2021
169,1009363,Imperial Guard,,2016-07-08,17,11,2016-01-01,2010-2017
170,1009364,Impossible Man,,1969-12-31,24,19,1969-01-01,1969
171,1011063,In-Betweener,,2011-05-23,4,4,2011-01-01,2010-2017
172,1011064,Inertia,,1969-12-31,3,3,1969-01-01,1969
174,1009365,Inhumans,,2016-07-08,247,112,2016-01-01,2010-2017
175,1011293,Ink,,1969-12-31,2,2,1969-01-01,1969
176,1011024,Invaders,,2014-06-13,93,22,2014-01-01,2010-2017
177,1009366,Invisible Woman,,2013-10-24,730,175,2013-01-01,2010-2017
179,1010934,Invisible Woman (Ultimate),,2010-12-08,52,19,2010-01-01,2010-2017
180,1009372,J. Jonah Jameson,,2016-08-05,278,77,2016-01-01,2010-2017
182,1010786,Jack Murdock,,1969-12-31,8,5,1969-01-01,1969
183,1010766,Jack O' Lantern,,1969-12-31,9,7,1969-01-01,1969
184,1011251,Jack Power,,1969-12-31,6,3,1969-01-01,1969
185,1011288,Jackal,,2011-05-12,43,21,2011-01-01,2010-2017
186,1011259,Jackpot,,1969-12-31,7,4,1969-01-01,1969
187,1010775,James Buchanan Barnes,,2004-04-14,3,3,2004-01-01,2004
188,1010777,James Howlett,,1969-12-31,3,2,1969-01-01,1969
189,1011343,Jamie Braddock,,2004-04-14,16,6,2004-01-01,2004
190,1010329,Jane Foster,,2013-10-31,75,33,2013-01-01,2010-2017
191,1010878,"Janus, the Nega-Man",,1969-12-31,1,1,1969-01-01,1969
192,1009597,Jasper Sitwell,,1969-12-31,20,8,1969-01-01,1969
194,1009327,Jean Grey,,2013-11-20,217,100,2013-01-01,2010-2017
195,1009496,Jean Grey,,2013-08-01,58,22,2013-01-01,2010-2017
196,1010946,Jean Grey (Ultimate),,2014-03-05,78,19,2014-01-01,2010-2017
198,1011404,Jeryn Hogarth,,1969-12-31,19,5,1969-01-01,1969
199,1010667,Jessica Drew,,,13,5,,0
200,1011081,Ka-Zar,,2016-02-04,155,46,2016-01-01,2010-2017
201,1011193,Kabuki,,1969-12-31,11,1,1969-01-01,1969
202,1009384,Kang,,2013-10-24,131,57,2013-01-01,2010-2017
204,1011357,Karen Page,,2017-08-21,33,14,2017-01-01,2010-2017
205,1011386,Karma,,2013-01-22,54,13,2013-01-01,2010-2017
206,1009385,Karnak,,2017-08-21,105,50,2017-01-01,2010-2017
207,1010752,Karolina Dean ,,2012-02-27,10,8,2012-01-01,2010-2017
208,1010783,Kat Farrell,,1969-12-31,11,7,1969-01-01,1969
209,1010810,Kate Bishop,,1969-12-31,12,5,1969-01-01,1969
210,1011250,Katie Power,,1969-12-31,11,5,1969-01-01,1969
211,1011319,Ken Ellis,"Former Daily Bugle and current DB! reporter Ken Ellis first made a splash during the public debut of Ben Reilly as the Scarlet Spider, providing the new costumed hero with his name following a pitched battle with Venom.",1969-12-31,6,3,1969-01-01,1969
213,1010893,Kid Colt,,1969-12-31,14,6,1969-01-01,1969
214,1011397,Killer Shrike,,1969-12-31,4,4,1969-01-01,1969
215,1011289,Killmonger,,2017-08-21,26,9,2017-01-01,2010-2017
216,1011116,Killraven,,1969-12-31,38,8,1969-01-01,1969
217,1009388,King Bedlam,,1969-12-31,2,1,1969-01-01,1969
218,1010842,King Cobra,,1969-12-31,5,5,1969-01-01,1969
219,1009389,Kingpin,,2013-10-17,254,95,2013-01-01,2010-2017
220,1009392,La Nuit,,1969-12-31,2,2,1969-01-01,1969
221,1011327,Lady Bullseye,,2011-10-05,33,8,2011-01-01,2010-2017
222,1009393,Lady Deathstrike,,2014-04-29,92,34,2014-01-01,2010-2017
223,1011014,Lady Mastermind,,1969-12-31,3,1,1969-01-01,1969
228,1009397,Lava-Man,,1969-12-31,1,1,1969-01-01,1969
229,1011100,Layla Miller,,2013-11-01,41,4,2013-01-01,2010-2017
230,1009398,Leader,,2013-12-26,49,16,2013-01-01,2010-2017
231,1011092,Leech,,2011-10-27,4,2,2011-01-01,2010-2017
232,1009399,Legion,,2017-08-24,94,32,2017-01-01,2010-2017
233,1011403,"Lei Kung, The Thunderer",,1969-12-31,6,1,1969-01-01,1969
237,1011375,Leper Queen,,1969-12-31,1,1,1969-01-01,1969
239,1011421,Lethal Legion,,1969-12-31,12,8,1969-01-01,1969
240,1011068,M (Monet St. Croix),,2011-09-07,40,8,2011-01-01,2010-2017
241,1011004,M.O.D.A.M.,,1969-12-31,5,3,1969-01-01,1969
242,1011320,M.O.D.O.G.,,1969-12-31,2,2,1969-01-01,1969
243,1010726,M.O.D.O.K.,,2013-10-17,50,28,2013-01-01,2010-2017
245,1009418,Ma Gnuci,,1969-12-31,2,1,1969-01-01,1969
247,1010851,Mach IV,,2011-05-20,8,4,2011-01-01,2010-2017
248,1010805,Machine Man,,2012-01-18,94,27,2012-01-01,2010-2017
249,1009411,Mad Thinker,,2013-11-01,34,21,2013-01-01,2010-2017
250,1009412,Madame Hydra,,2011-11-16,16,11,2011-01-01,2010-2017
251,1010352,Madame Masque,,1969-12-31,31,15,1969-01-01,1969
252,1010796,Madame Web (Julia Carpenter),,2013-11-12,1,1,2013-01-01,2010-2017
253,1010724,Maddog,,1969-12-31,1,1,1969-01-01,1969
254,1009509,Madelyne Pryor,,2013-11-20,20,9,2013-01-01,2010-2017
255,1011205,Madripoor,,1969-12-31,1,1,1969-01-01,1969
256,1009413,Madrox,,2013-11-01,88,12,2013-01-01,2010-2017
257,1011053,Maelstrom,,1969-12-31,4,3,1969-01-01,1969
